prenom,nom,sexe,categorie,role,mail,contact
Nathan,Sassou8,homme,marié,,nath.Sassou8@hotmail.fr,
Léa,Fournier,femme,mariée,,lea.fournier@free.fr,
Pascal,Denis,homme,famille,photographe,pascal.denis65@yahoo.fr,
Florian,Fournier,homme,amis,musique,florian.fournier92@gmail.com,
Melanie,Fournier,femme,amis,,melanie.fournier@free.fr,
Isabelle,Faure,femme,voisins,decoration,isabelle.faure@laposte.net,
Brigitte,Lemoine,femme,famille,photographe,,
Julie,Lefebvre,femme,collegues,animation,julie.lefebvre@gmail.com,
Justine,Marie,femme,voisins,,justine.marie30@gmail.com,
Nathalie,Lemoine,femme,famille,,,
Caroline,Dupuis,femme,voisins,musique,caroline.dupuis27@outlook.fr,
Franck,Marchand,homme,famille,photographe,franck.marchand@hotmail.fr,
Mathieu,Richard,homme,collegues,,mathieu.richard@yahoo.fr,
Jacqueline,Lefevre,femme,amis,,jacqueline.lefevre@orange.fr,
Pierre,Roux,homme,voisins,logistique,pierre.roux@orange.fr,
Aurelie,Michel,femme,famille,logistique,aurelie.michel@free.fr,
Alice,Girard,femme,famille,,,
Theo,Perrin,homme,voisins,,theo.perrin2@laposte.net,
Henri,Roussel,homme,collegues,logistique,henri.roussel@hotmail.fr,
Stephane,Chevalier,homme,amis,,,
Colette,Richard,femme,famille,logistique,colette.richard@free.fr,
Christelle,Rousseau,femme,voisins,,christelle.rousseau@hotmail.fr,
Christophe,Thomas,homme,amis,,,
Isabelle,David,femme,amis,,isabelle.david@outlook.fr,
Alexandre,Meyer,homme,voisins,,alexandre.meyer@gmail.com,
Francoise,Thomas,femme,famille,,,
Amelie,Bernard,femme,amis,accueil,amelie.bernard@laposte.net,
Idris,Idrissi,homme,voisins,,idris.idrissi34@gmail.com,
Amelie,Marchand,femme,amis,decoration,,
Julie,Simon,femme,amis,,julie.simon58@free.fr,
Baptiste,Garnier,homme,amis,,baptiste.garnier@outlook.fr,
Francoise,Fournier,femme,amis,,francoise.fournier@orange.fr,
Julie,Durand,femme,famille,photographe,,
Yann,Simon,homme,amis,accueil,yann.simon@free.fr,
Hugo,Roux,homme,amis,logistique,,
Thomas,Roussel,homme,amis,,,
Constance,Faure,femme,amis,accueil,constance.faure@orange.fr,
Thomas,Martin,homme,famille,animation,thomas.martin@free.fr,
Bernard,Blanc,homme,famille,,bernard.blanc@yahoo.fr,
Laurent,Pierre,homme,voisins,,laurent.pierre@laposte.net,
Chantal,Henry,femme,amis,decoration,chantal.henry@orange.fr,
Damien,Robert,homme,voisins,decoration,damien.robert@outlook.fr,
Manon,Lefebvre,femme,famille,,manon.lefebvre@yahoo.fr,
Jean,Faure,homme,voisins,,,
Daniel,Dupont,homme,collegues,logistique,daniel.dupont@gmail.com,
Sebastien,Roux,homme,voisins,,sebastien.roux@gmail.com,
Michel,Vincent,homme,voisins,decoration,,
Brigitte,Muller,femme,voisins,musique,brigitte.muller@laposte.net,
Thomas,Simon,homme,collegues,,thomas.simon@yahoo.fr,
yann,Girard,homme,collegues,accueil,yann656@hotmail.fr,
